(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Water Column Component,,,,,CMECS Component: Water Column ,"The Water Column Component (WC) describes the water column environment of estuaries and oceans.The water column presents unique challenges to classification and characterization—due to its three-dimensional structure; a high degree of temporal variability; a wide, dynamic range in environmental characteristics (across multiple spatial scales); and the inherent challenges of measuring the various parameters. The WC identifies the structures, patterns, properties, and processes, of the water column relevant to ecological relationships and habitat-organism interactions. This component extends from the land-sea margin to the deep oceans and vertically from the surface of the water to the benthic interface. The WC encompasses the Lacustrine, Estuarine, and Marine Systems. The water column component of the Lacustrine System will be fully addressed in a later document, while the latter two systems are described here.
Because the water column is highly variable in both time and space, it is difficult to assign structures or properties to a specific location or depth with certainty. The characteristics of the water continuously change over time. For example, in the clear waters of the open ocean, the well-lit zone of photosynthesis generally extends throughout the upper 200 meters of the water column. In estuaries and coastal waters, surface conditions and water constituents reduce the depth of the photic zone by orders of magnitude. Nearshore photic depths can be quite shallow and variable from place to place or over short time periods. In shallow waters, optical dynamics are compressed in the vertical dimension and their effects are amplified—strongly influencing biota in the water column and in the benthos.
The WC is designed to accommodate the high degree of spatio-temporal variability of the water column with a simple and flexible structure and a comprehensive array of units and modifiers. The WC provides a way to define and organize key information most commonly required to characterize the water column. Spatially, the WC can be applied to points or profiles within the water column, as well as to water masses, regions, entire water bodies and entire oceans.
The WC contains five subcomponents that can be used alone or in combination (Table 5.1): Layer, Salinity, Temperature, Hydroform and Biogeochemical Feature. The Layer subcomponent indicates vertical position within the water column, using a set of defined layers associated with each subsystem and gives information about relative proximity to the atmosphere, mid-depth or benthos. Units in the Salinity and Temperature subcomponents describe the salinity and temperature characteristics of a water parcel within standard ranges. Hydroform Classes, their hydroforms, and hydroform types describe physical hydrographic features such as currents, waves, water masses, gyres, upwellings and fronts. The Biogeochemical Features subcomponent describes such phenomena as biofilm, thermocline and turbidity maximum—features of the water column that include properties and constituents beyond simple hydrodynamics. Modifiers can be selected from a comprehensive list and applied to any component to define additional characteristics such as trophic status, oxygen status, tide regime and energy regime.",2012-06,W,
Water Column Component,Water Column Layer ,,,,CMECS Water Column Subcomponent,"The Water Column Layer Subcomponent resolves the water column vertically into its major coherent layers based on position relative to the surface and to the pycnocline or mid-depth. These layers reflect ecologically important characteristics of the water column structure. The layers for all cross-shelf waters include Surface Layer, Upper Water Column, Pycnocline and Lower Water Column. In the Marine Oceanic Subsystem, additional divisions (described below) are based on depth in the water column. The Layer subcomponent works with the Subsystem of the Aquatic Setting described in Section 4 to define the estuarine and marine water column as a grid. The grid framework is composed of horizontal regions (x-y axes) divided on the basis of position relative to land and total water depth, and vertical layers (z-axis) defined by depth below the surface. This structural arrangement provides a fixed frame of reference for describing position within the water column and accommodates the variability in water column features, conditions and movements by applying additional subcomponents (Figure 5.1).
One set of Water Column Layers is defined for application to all Estuarine Subsystems and the two Marine Subsystems (Nearshore and Offshore) in cross shelf waters where the total water depth is relatively shallow.
For all subsystems (except the Marine Oceanic) the following Water Column Layers are defined:

Surface Layer: The interface between the water column and the atmosphere, extending to a depth of several centimeters, represents the surface of maximum exchange of atmospheric gases, heat and light. Surface films, floating vegetation and aggregations of materials or biota accumulate at this interface.

Upper Water Column: The area from just below the surface to the boundary of the pycnocline, if present. (If a pycnocline is not present or is not detected, the region above mid-depth in the water column is defined as the Upper Water Column.) The upper water column layer is in close contact with the atmosphere; usually oxygenated, well-mixed and well-lighted; and is generally marked by high rates of photosynthesis and net autotrophic production.

Pycnocline: The zone of maximum change of density of a particular physicochemical variable—normally salinity or temperature—that segregates two distinct layers, which are of relatively homogeneous density. The presence of a pycnocline provides a barrier to vertical mixing between the upper and lower water columns, and this layer enhances the stability of the water column.

Lower Water Column: The area below the pycnocline (or, if absent, below mid-depth in the water column), the lower portion of the water column is often dimly or negligibly illuminated (particularly in estuaries) and can be heterotrophic. These deeper waters have limited contact with the atmosphere, may be reduced in oxygen content, and can have a high degree of interaction with bottom sediments. This layer receives organic and mineral material from upper waters and is frequently the site of anoxia. In estuaries, the salt wedge and counter current flow occur in this layer.",2012-06,W,l
Water Column Component,Water Column Layer ,Estuarine Coastal Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,Estuarine waters between the shore and the 4 meter depth contour at the surface of the water column to a depth of a few centimeters.,2012-06,W,l1
Water Column Component,Water Column Layer ,Estuarine Coastal Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,Estuarine waters above the pycnocline (or the mid-depth) between the shore and the 4 meter depth contour.,2012-06,W,l2
Water Column Component,Water Column Layer ,Estuarine Coastal Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Estuarine waters within the pycnocline, between the shore and the 4 meter depth contour.",2012-06,W,l3
Water Column Component,Water Column Layer ,Estuarine Coastal Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,Estuarine waters below the pycnocline (or mid-depth) and between the shore and the 4 meter depth contour.,2012-06,W,l4
Water Column Component,Water Column Layer ,Estuarine Open Water Surface Layer,,,CMECS Water Column Subcomponent: Water Column Layer,"Estuarine waters at the surface, at or beyond the 4 meter depth contour.",2012-06,W,l5
Water Column Component,Water Column Layer ,Estuarine Open Water Upper Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Estuarine waters above the pycnocline (or mid-depth), at or beyond the 4 meter depth contour.",2012-06,W,l6
Water Column Component,Water Column Layer ,Estuarine Open Water Pycnocline,,,CMECS Water Column Subcomponent: Water Column Layer,"Estuarine waters within the pycnocline, at or beyond the 4 meter depth contour.",2012-06,W,l7
Water Column Component,Water Column Layer ,Estuarine Open Water Lower Water Column,,,CMECS Water Column Subcomponent: Water Column Layer,"Estuarine waters below the pycnocline (or mid-depth), at or beyond the 4 meter depth contour.",2012-06,W,l8
