"Modifier
CODE",MODIFIER TYPE,MODIFIER,UNITS,DESCRIPTION
AI01,Anthropogenic,Anthropogenic Impact,Aquaculture,Areas and structures where shellfish or finfish are being raised or confined for harvest. This may also include fish traps and ponds or enclosures.
AI02,,,Contaminated,"Areas affected by past or present anthropogenic discharge of unnatural or excessive amounts of compounds (such as nutrients, sewage, metals, pesticides, or other materials) to waters or substrates, which results in concentrations significantly higher than those attributable to natural loading."
AI03,,,Developed,"Coastal or marine areas that have been modified by durable and persistent human construction (e.g., artificial reef, pier, seawall, marina, residence, or drilling platform)."
AI04,,,Dredged,"Landscape that is mechanically altered by the removal of sediments or other materials (e.g., shell) in order to deepen or widen channels (e.g., for navigation or alteration to hydrology)."
AI05,,,Exotic,Areas affected by human-mediated introduction of exotic species.
AI06,,,Filled Deposition Site,Areas where materials (such as sand or shell) have been placed on (or in) an area of coast or a water body.
AI07,,,Impounded/Diverted,"Areas where artificial construction impedes, redirects, or retains hydrological flow by building or placing barriers (e.g., dams, levees, dikes, berms, seawalls, or piers); these structures are designed to either retain water or to prevent inundation."
AI08,,,Restored,Areas where restoration activities have been conducted; may include planted areas.
AI09,,,Scarred,"Areas of scarring by natural or anthropogenic activities other than trawling or harvesting. Examples include ice scouring, vessel grounding, prop scarring, or other industrial activities."
AI10,,,Trawled/Harvested,Areas affected by past or present trawling or shellfish harvesting.
PWS01,Biogeographic,Primary Water Source,Estuary,Plume flow that is from the estuary.
PWS02,,,Local Estuary Exchange,Tidal exchange that is primarily estuarine water.
PWS03,,,Local Ocean Exchange,Tidal exchange that is primarily marine water at the marine end member interface.
PWS04,,,Marine,Unidirectional flow that is primarily marine water.
PWS05,,,River,Tidal exchange or plume flow that is primarily river water.
PWS06,,,Watershed,Flowing freshwater from the upstream watershed.
AT,Biological,Associated Taxa,Descriptive,
CSS01,,Community Successional Stage,Stage 0,"These oligozoic soft-sediment areas show little evidence of multi-cellular life; however, benthic samples that are retrieved and processed under magnification from Stage 0 stations will generally produce low numbers of small macrofauna or meiofauna. Multicellular fauna will not be obvious to the unassisted eye when examining sediment, and it will not be obvious in high-resolution images of the seafloor. Bacterial mats may be present. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (BHQ values for Stage 0 will range from 0 to 1.99). No evidence of active bioturbation exists, and aRPD depths are typically < 2 millimeters."
CSS02,,,Stage 1,"These associations are inhabited by small opportunistic fauna (e.g., capitellids and spionids) in the upper centimeter of sediment. Larger fauna are not present, although juvenile individuals of larger species may occur. Names of small, opportunistic local species typical of Stage 1 are available in the regional literature. Surface expressions include small tubes (< 2 millimeters in diameter) of polychaetes or other fauna, or evidence of oligochaete burrowing activities. Subsurface evidence of either small worms or small burrow structures will primarily occur in the upper centimeter of sediment. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (Stage 1 BHQ values will range from 2 to < 5). Bioturbation depths will be shallow, with an aRPD depth typically > 2 millimeters to < 2 centimeters."
CSS03,,,Stage 2,"Communities are characterized by fauna of intermediate sizes typically inhabiting the upper 2-4 centimeters of sediment. This stage is considered transitional and is often variable; in a percentage of samples it will be difficult to clearly distinguish Stage 2 from other stages within the continuous spectrum presented by natural environments. Regional literature identifying species typical of Stage 2 may be referenced. Surface evidence of Stage 2 communities includes openings to small burrows (defined as excavations with a lumen width < 1 centimeter) and the presence of mid-sized tube dwelling fauna (e.g., robust Ampelisca tube mats; tubes > 2 millimeters in diameter; or tubes longer than 30 millimeters if very thin). Subsurface evidence includes burrows of polychaetes or other fauna in the upper 2-4 centimeters of sediment, small shallow-dwelling opportunistic bivalves, and small feeding voids in the upper 4 centimeters of sediment. If examining sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed or the Nilsson-Rosenberg BHQ metrics (Nilsson and Rosenberg 1997, 2000) can be used (BHQ for Stage 2 will range from 5 to 10)."
CSS04,,,Stage 3,"These communities are identified by larger, long-lived, deep burrowing fauna or by evidence of the activities of those fauna; burrowing activities typically extend deeper than 5 centimeters. Characteristic species vary among localities and among environments; species can be identified through regionally appropriate literature. Common surface expression may include very large tube-building fauna (> 3 millimeters in diameter or > 30 mm in length), larger fecal mounds, burrowing urchins or ophiuroids, pits or tunnel openings (e.g., crustacean excavations with a lumen width of > 1 centimeter), or large digging spoils associated with pits or tunnels. Subsurface characteristics include oxygenated or active faunal feeding voids at 5 centimeters or deeper, active tunnels (subsurface excavations with a lumen width of > 1 centimeter) at depth, or presence of large polychaetes or other fauna. Frequently, evidence of smaller, opportunistic fauna will also be present in Stage 3 communities; these fauna are not necessarily eliminated by larger fauna. If evaluating sediment profile images, guidelines from Rhoads and Germano (1982, 1986) can be followed, or the Nilsson-Rosenberg Benthic Habitat Quality (BHQ) metric (Nilsson and Rosenberg 1997, 2000) can be used (Stage 3 will have BHQ > 10). Extensive bioturbation will be evidenced by deep RPD and aRPD depths."
ICOS01,,Invertebrate Community Organism Size,Large Megafauna,"Benthic invertebrate communities that are dominated by organisms that typically reach a body size of > 3 to 10 centimeters in the smallest dimension (e.g., height, width), with this measurement not to include the length of slender, lateral protrusions (such as arms or tentacles)."
ICOS02,,,Megafauna,"Benthic invertebrate communities that are dominated by organisms that typically reach a body size of > 1 to 3 centimeters in the smallest dimension (e.g., height, width), with this measurement not to include the length of slender, lateral protrusions (such as arms or tentacles). These communities may be identified by evidence of these fauna (e.g., large mounds or pit or tunnel openings of > 1 to 3 centimeters)."
ICOS03,,,Large Macrofauna,Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of > 2 millimeters to 1 centimeter; living organisms larger than this size range are rare in these infaunal or epifaunal associations.
ICOS04,,,Small Macrofauna,Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of > 0.5 to 2 millimeters; living organisms larger than this size range are rare in these infaunal or epifaunal associations.
ICOS05,,,Meiofauna,"Benthic invertebrate communities that are dominated by organisms with a body width (smallest dimension) of 0.5 mm or less, that would typically pass through an 0.5 mm sieve but be retained on an 0.25 mm sieve. Living organisms larger than this size range are rare in the infaunal or epifaunal association; the modifier may be applied to any classification unit within Faunal Bed."
PP01,,Phytoplankton Productivity,Oligotrophic,< 5 µg/L chlorophyll a
PP02,,,Mesotrophic,5 to < 50 µg/L chlorophyll a
PP03,,,Eutrophic,? 50 µg/L chlorophyll a
MP01,,Macrovegetation Productivity,Oligotrophic,< 50 mg dry wt/m2 biomass
MP02,,,Mesotrophic,"50 to < 1,000 mg dry wt/m2 biomass"
MP03,,,Eutrophic,"? 1,000 mg dry wt/m2 biomass"
TP01,Temporal ,Temporal Persistence,Stochastic,
TP02,,,Hours,
TP03,,,Days,
TP04,,,Weeks,
TP05,,,Months,
TP06,,,Years,
TP07,,,Inter-Annual,
TP08,,,Decades,
TP09,,,Centuries,
ED01,Physical,Energy Direction,Baroclinic,Motion along lines of equal pressure within the water column.
ED02,,,Circular,"Motion in a closed, circular form."
ED03,,,Downward,Descending and perpendicular to the sea surface or bottom.
ED04,,,Horizontal,Parallel to the sea surface or bottom.
ED05,,,Mixed,Combination of more than one of above directions.
ED06,,,Seaward,"On land, water currents following a topographic gradient toward the sea."
ED07,,,Upward,Ascending and perpendicular to the sea surface or bottom.
EI01,,Energy Intensity,Very Low Energy,Area experiences little current motion under most conditions.
EI02,,,Low Energy,Area typically experiences very weak currents (0-1 knots).
EI03,,,Moderate Energy,Area regularly experiences moderate tidal currents (> 1-3 knots).
EI04,,,High Energy,Area regularly experiences strong currents (> 3 knots).
ET01,,Energy Type,Current,Coherent directional motion of the water.
ET02,,,Internal Wave,Vertical and transverse oscillating water motion- below the surface- due to seismic energy or a pressure differential.
ET03,,,Surface Wave,Vertical and transverse oscillating surface water motion due to wind or seismic energy.
ET04,,,Tide,"Periodic, horizontally oscillating water motion."
ET05,,,Wind,Coherent directional motion of the atmosphere.
