(Level 1) ,(Level 2),(Level 3),(Level 4),Unit Type,Defintion,CMECS Version,Component Code,Unit Code
Modifiers,,,,CMECS Modifiers,"Modifiers are physicochemical, spatial, geological, biological, anthropogenic, and temporal variables with defined categorical values and ranges that are used to describe CMECS units. Modifiers can be applied when additional information is needed to further characterize an identified unit for individual applications. Modifiers provide additional environmental, structural, or biological information about the ecosystem; modifiers are useful for description and application- but they are not required for classification according to the CMECS schema. Modifiers are a dynamic component of the CMECS in the sense that users are free to apply additional local modifiers for their project needs as long as these are reported and do not conflict with modifiers outlined in this section.
The modifiers are organized by into general modifier types, and then listed alphabetically within the given type for easy reference. The general modifier types include Anthropogenic, Biogeographic, Biological, Physical, Physicochemical, Spatial, and Temporal.",2012-06,,
Modifiers,Anthropogenic Modifiers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,,CMECS Modifier,,2012-06,,AI
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Aquaculture,CMECS Modifier Value,Areas and structures where shellfish or finfish are being raised or confined for harvest. This may also include fish traps and ponds or enclosures.,2012-06,,AI01
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Contaminated,CMECS Modifier Value,"Areas affected by past or present anthropogenic discharge of unnatural or excessive amounts of compounds (such as nutrients, sewage, metals, pesticides, or other materials) to waters or substrates, which results in concentrations significantly higher than those attributable to natural loading.",2012-06,,AI02
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Developed,CMECS Modifier Value,"Coastal or marine areas that have been modified by durable and persistent human construction (e.g., artificial reef, pier, seawall, marina, residence, or drilling platform).",2012-06,,AI03
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Dredged,CMECS Modifier Value,"Landscape that is mechanically altered by the removal of sediments or other materials (e.g., shell) in order to deepen or widen channels (e.g., for navigation or alteration to hydrology).",2012-06,,AI04
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Exotic,CMECS Modifier Value,Areas affected by human-mediated introduction of exotic species.,2012-06,,AI05
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Filled Deposition Site,CMECS Modifier Value,Areas where materials (such as sand or shell) have been placed on (or in) an area of coast or a water body.,2012-06,,AI06
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Impounded/Diverted,CMECS Modifier Value,"Areas where artificial construction impedes, redirects, or retains hydrological flow by building or placing barriers (e.g., dams, levees, dikes, berms, seawalls, or piers); these structures are designed to either retain water or to prevent inundation.",2012-06,,AI07
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Restored,CMECS Modifier Value,Areas where restoration activities have been conducted; may include planted areas.,2012-06,,AI08
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Scarred,CMECS Modifier Value,"Areas of scarring by natural or anthropogenic activities other than trawling or harvesting. Examples include ice scouring, vessel grounding, prop scarring, or other industrial activities.",2012-06,,AI09
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Trawled/Harvested,CMECS Modifier Value,Areas affected by past or present trawling or shellfish harvesting.,2012-06,,AI10
Modifiers,Biogeographic Modifiers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Biogeographic Modifiers,Primary Water Source,,CMECS Modifier,The Primary Water Source Modifier refers to the provenance of water flowing through or into a location. This can range from freshwater inputs (from watersheds and sloughs) to seawater exchanges through tidal passes.,2012-06,,PWS
Modifiers,Biogeographic Modifiers,Primary Water Source,Estuary,CMECS Modifier Value,Plume flow that is from the estuary.,2012-06,,PWS01
Modifiers,Biogeographic Modifiers,Primary Water Source,Local Estuary Exchange,CMECS Modifier Value,Tidal exchange that is primarily estuarine water.,2012-06,,PWS02
Modifiers,Biogeographic Modifiers,Primary Water Source,Local Ocean Exchange,CMECS Modifier Value,Tidal exchange that is primarily marine water at the marine end member interface.,2012-06,,PWS03
Modifiers,Biogeographic Modifiers,Primary Water Source,Marine,CMECS Modifier Value,Unidirectional flow that is primarily marine water.,2012-06,,PWS04
Modifiers,Biogeographic Modifiers,Primary Water Source,River,CMECS Modifier Value,Tidal exchange or plume flow that is primarily river water.,2012-06,,PWS05
Modifiers,Biogeographic Modifiers,Primary Water Source,Watershed,CMECS Modifier Value,Flowing freshwater from the upstream watershed.,2012-06,,PWS06
Modifiers,Biological Modifers,,,CMECS Modifier Type,,2012-06,,
Modifiers,Biological Modifers,Associated Taxa,Descriptive,CMECS Modifier,"The Associated Taxa Modifier is used in the Biotic Component to denote the presence of biota that are not a classification unit in CMECS; e.g., portunid crabs, groupers, gadids, barracuda, herring, all nekton, and other rapidly moving fauna. Further discussions on the use of Associated Taxa (as well as examples) are given under Co-occurring Elements, Section 10.6.2.",2012-06,,AT
