Component CODE,Unit CODE,REALM,PROVINCE,ECOREGION
E,1,Arctic,,
E,1.1,Arctic,Arctic,
E,1.1.1,Arctic,Arctic,Beaufort Sea Continental Coast and Shelf
E,1.1.2,Arctic,Arctic,Chukchi Sea
E,1.1.3,Arctic,Arctic,Eastern Bering Sea
E,2,Temperate Northern Atlantic,,
E,2.1,Temperate Northern Atlantic,Cold Temperate Northern Atlantic,
E,2.1.1,Temperate Northern Atlantic,Cold Temperate Northern Atlantic,Scotian Shelf
E,2.1.2,Temperate Northern Atlantic,Cold Temperate Northern Atlantic,Gulf of Maine/Bay of Fundy
E,2.1.3,Temperate Northern Atlantic,Cold Temperate Northern Atlantic,Virginian
E,2.2,Temperate Northern Atlantic,Warm Temperate Northern Atlantic,
E,2.2.1,Temperate Northern Atlantic,Warm Temperate Northern Atlantic,Carolinian
E,2.2.2,Temperate Northern Atlantic,Warm Temperate Northern Atlantic,Northern Gulf of Mexico
E,3,Temperate Northern Pacific,,
E,3.1,Temperate Northern Pacific,Cold Temperate Northeast Pacific,
E,3.1.1,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Aleutian Islands
E,3.1.2,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Gulf of Alaska
E,3.1.3,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Crustacean Meroplankton
E,3.1.4,Temperate Northern Pacific,Cold Temperate Northeast Pacific,North American Pacific Fjordland
E,3.1.5,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Puget Trough/Georgia Basin
E,3.1.6,Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf"
E,3.1.7,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Northern California
E,3.1.8,Temperate Northern Pacific,Cold Temperate Northeast Pacific,Southern California Bight
E,4,Tropical Atlantic,,
E,4.1,Tropical Atlantic,Tropical Northwestern Atlantic,
E,4.1.1,Tropical Atlantic,Tropical Northwestern Atlantic,Eastern Caribbean
E,4.1.2,Tropical Atlantic,Tropical Northwestern Atlantic,Greater Antilles
E,4.1.3,Tropical Atlantic,Tropical Northwestern Atlantic,Southwestern Caribbean
E,4.1.4,Tropical Atlantic,Tropical Northwestern Atlantic,Floridian
E,5,Central Indo-Pacific,,
E,5.1,Central Indo-Pacific,Tropical Northwestern Pacific,
E,5.1.1,Central Indo-Pacific,Tropical Northwestern Pacific,Mariana Islands
E,6,Eastern Indo-Pacific,,
E,6.1,Eastern Indo-Pacific,Hawaii,
E,6.2,Eastern Indo-Pacific,"Marshall, Gilbert, and Ellis Islands",
E,6.2.1,Eastern Indo-Pacific,"Marshall, Gilbert, and Ellis Islands",Marshall Islands
E,6.3,Eastern Indo-Pacific,Central Polynesia,
E,6.3.1,Eastern Indo-Pacific,Central Polynesia,Line Islands
E,6.3.2,Eastern Indo-Pacific,Central Polynesia,Phoenix/Tokelau/Northern Cook Islands
E,6.3.3,Eastern Indo-Pacific,Central Polynesia,Samoa Islands
