Component_Abbrev,Level_Name,d_Level_id,Unit_Name,Unit_ID,Definition
BC,Biotic Class,4,Aquatic Vegetation Bed,394,"This class includes subtidal or intertidal bottoms and any other areas characterized by a dominant cover of rooted vascular plants, attached macroalgae, or mosses, which are usually submersed in the water column or floating on the surface. They may be exposed during low tides. Non-rooted floating vegetation and free floating macroalgae are included with the Planktonic Biota Biotic Setting under the Floating/Suspended Plants and Macroalgae Subclass."
BC,Biotic Group,6,Algal Particles,464,"Areas dominated by live drifting or floating macroalgae, or macroalgal pieces. They do not form rafts, but their distribution in the water column is at a density that can be clearly observed with the human eye."
BC,Biotic Group,6,Algal Rafts,463,"Thick mats composed of macroalgae that either float on the surface or are submerged in the water column. Some species primarily float (e.g., Kelp Rafts, Rockweed Rafts, and <i>Sargassum</i> Rafts), while others may both float and sink (e.g., <i>Gracilaria</i> Rafts and <i>Ulva</i> Rafts)."
BC,Biotic Group,6,Amphipod Aggregation,439,"Water parcels in which amphipods (laterally compressed or stick-like, elongated, generally small crustaceans) aggregate and are the dominant form of zooplankton."
BC,Biotic Subclass,5,Aquatic Vascular Vegetation,434,"Aquatic vascular vegetation beds dominated by submerged, rooted, vascular species (such as seagrasses, Figure 8.15) or submerged or rooted floating freshwater tidal vascular vegetation (such as hornworts [<i>Ceratophyllum</i> spp.] or naiads [<i>Najas</i> spp.]).<br/><br/>Note: Nomenclatural standards and punctuation for vegetated biotic communities are taken directly from FGDC-STD-005-2008. Strata are separated by a ""/"" (i.e., tree/shrub/herbaceous). Hyphens between species names indicate that they are in the same strata. Parentheses indicate that the species is important in defining the association, but may not be in every observation of the association. The name of the FGDC-STD-005-2008 Class is always used at the end of the association name. The epithet, ""[Provisional]"" is used when the type has been identified, but not yet formally incorporated into FGDC-STD-005-2008."
BC,Biotic Group,6,Attached Anemones,507,"Hard substrate areas dominated by attached anemones (coelenterates which secure themselves to a hard substrate with a pedal disc). These assemblages are common in certain rocky, coastal areas."
BC,Biotic Group,6,Attached Basket Stars,1210,"Hard or mixed substrate areas characterized by brushy, many-armed echinoderms known as basket stars. Basket stars and brittle stars (see below) are both members of the class Ophiuroidea, but the arms of basket stars bifurcate many times to form a large complex that is reminiscent of a basket. Basket stars are usually larger than brittle stars, and maintain an upright form, generally clinging to hard substrate or solid objects using their bifurcated arms, which also function in suspension feeding."
BC,Biotic Group,6,Attached Brachiopods,1211,"Areas dominated by brachiopods, a phylum of animals with two shells, a stalk-like peduncle, and a tentacular, ciliated feeding organ. Brachiopods resemble clams, but are not mollusks. In some species, the peduncle is used to attach the animal to hard substrate, or one of the valves is cemented to the substrate. In other species, the peduncle and the valves are adapted to burrowing in soft sediment (see Burrowing Brachiopods, below). Brachiopods may occur in very high densities in some areas and are common on the U.S. west coast. Certain species can be identified by the wide gape between their shells when they are feeding, but not all species exhibit this wide gape. Most Brachiopods feed on plankton or on detritus."
BC,Biotic Group,6,Attached Bryozoans,509,"Areas dominated by abundant or structurally complex, attached bryozoan communities that are may be habitat-forming. These colonial filter-feeding animals have a protective chinitous or calcareous covering that adds structural support. They may occur on hard substrates as flat encrusting growths, as feathery branched structures, as complex calcareous shapes, as fouling communities, and in other forms. Certain species of bryozoans may create extensive habitats."
BC,Biotic Group,6,Attached Corals,510,"Subtidal (and deeper) substrates that are dominated by non-reef-forming corals. These include hexacorals such as black corals (Order Antipatheria) and gold corals (Order Zoanthidea, family Gerardiidae). All octocorals are non-reef forming, including soft corals and gorgonian sea fans and sea whips (Order Alcyonacea). Also in this group, bamboo corals are generally larger, erect, tree-shaped branching octocoral forms (with an articulated, bamboo-like skeleton) that are common in the deep sea. None of the octocorals produce the calcium carbonate structures associated with coral reefs, but octocorals can form important habitat areas, particularly in the deep sea, where large communities may cover significant area. Most species require a hard substrate for attachment, which may range from bedrock to a single pebble. Octocorals in the order Pennatulacea (sea pens, sea pansies, and sea feathers) are in general specialized for life on soft substrates, and are addressed in the Soft Sediment Fauna subclass."
