Setting,Realm,Province,Ecoregion,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Biogeographic Setting,,,,CMECS Setting: Biogeographic Setting,"The CMECS Biogeographic Setting is adopted from the Marine Ecoregions of the World (MEOW) technique (Spalding et al, 2007) for characterizing bioregions of marine coastal and shelf environments. MEOW provides global coverage with a nested, three-tiered system of realms, provinces, and ecoregions (moving from larger-scale to smaller-scale units). CMECS proposes to use the MEOW realms, provinces, and ecoregions for describing biogeographic elements of the Estuarine System and the Marine Nearshore and Offshore Subsystems.","Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,None,https://w3id.org/CMECS/CMECS_00000104,CMECS_00000104,Original Unit,,,
Biogeographic Setting,Arctic Realm,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1,https://w3id.org/CMECS/CMECS_00000038,CMECS_00000038,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1,https://w3id.org/CMECS/CMECS_00000037,CMECS_00000037,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Beaufort Sea Continental Coast and Shelf Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.1,https://w3id.org/CMECS/CMECS_00000093,CMECS_00000093,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Chukchi Sea Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.2,https://w3id.org/CMECS/CMECS_00000154,CMECS_00000154,Original Unit,,,
Biogeographic Setting,Arctic Realm,Arctic Province,Eastern Bering Sea Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,1.1.3,https://w3id.org/CMECS/CMECS_00000269,CMECS_00000269,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2,https://w3id.org/CMECS/CMECS_00000819,CMECS_00000819,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1,https://w3id.org/CMECS/CMECS_00000179,CMECS_00000179,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Scotian Shelf Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.1,https://w3id.org/CMECS/CMECS_00000714,CMECS_00000714,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Gulf of Maine/Bay of Fundy Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.2,https://w3id.org/CMECS/CMECS_00001470,CMECS_00001470,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Cold Temperate Northern Atlantic Province,Virginian Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.1.3,https://w3id.org/CMECS/CMECS_00000886,CMECS_00000886,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2,https://w3id.org/CMECS/CMECS_00000888,CMECS_00000888,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,Carolinian Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2.1,https://w3id.org/CMECS/CMECS_00000135,CMECS_00000135,Original Unit,,,
Biogeographic Setting,Temperate Northern Atlantic Realm,Warm Temperate Northern Atlantic Province,Northern Gulf of Mexico Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,2.2.2,https://w3id.org/CMECS/CMECS_00000599,CMECS_00000599,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,,,CMECS Setting: Biogeographic Setting Realm,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3,https://w3id.org/CMECS/CMECS_00000820,CMECS_00000820,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,Cold Temperate Northeast Pacific Province,,CMECS Setting: Biogeographic Setting Province,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3.1,https://w3id.org/CMECS/CMECS_00000178,CMECS_00000178,Original Unit,,,
Biogeographic Setting,Temperate Northern Pacific Realm,Cold Temperate Northeast Pacific Province,Aleutian Islands Ecoregion,CMECS Setting: Biogeographic Setting Ecoregion,,"Spalding. M. D., H. E. Fox, G. R. Allen, N. Davidson, Z. A. Ferdana, M. Finlayson, B. S. Halpern, et al. 2007. “Marine Ecoregions of the World: A Bioregionalization of Coastal and Shelf Areas.” BioScience 57 (7): 573–583.",1.1.2,E,3.1.1,https://w3id.org/CMECS/CMECS_00000006,CMECS_00000006,Original Unit,,,
