Modifiers,Modifier Type,Modifier,Modfier Value,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Modifiers,,,,CMECS Modifiers,"Modifiers are physicochemical, spatial, geological, biological, anthropogenic, and temporal variables with defined categorical values and ranges that are used to describe CMECS units. Modifiers can be applied when additional information is needed to further characterize an identified unit for individual applications. Modifiers provide additional environmental, structural, or biological information about the ecosystem; modifiers are useful for description and application- but they are not required for classification according to the CMECS schema. Modifiers are a dynamic component of the CMECS in the sense that users are free to apply additional local modifiers for their project needs as long as these are reported and do not conflict with modifiers outlined in this section.
The modifiers are organized by into general modifier types, and then listed alphabetically within the given type for easy reference. The general modifier types include Anthropogenic, Biogeographic, Biological, Physical, Physicochemical, Spatial, and Temporal.",,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000565,CMECS_00000565,Original Unit,,,
Modifiers,Anthropogenic Modifiers,,,CMECS Modifier Type,,,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000017,CMECS_00000017,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,,CMECS Modifier,,,1.1.2,None,AI,https://w3id.org/CMECS/CMECS_00000016,CMECS_00000016,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Aquaculture,CMECS Modifier Value,Areas and structures where shellfish or finfish are being raised or confined for harvest. This may also include fish traps and ponds or enclosures.,,1.1.2,None,AI01,https://w3id.org/CMECS/CMECS_00000032,CMECS_00000032,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Contaminated,CMECS Modifier Value,"Areas affected by past or present anthropogenic discharge of unnatural or excessive amounts of compounds (such as nutrients, sewage, metals, pesticides, or other materials) to waters or substrates, which results in concentrations significantly higher than those attributable to natural loading.",,1.1.2,None,AI02,https://w3id.org/CMECS/CMECS_00000188,CMECS_00000188,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Developed,CMECS Modifier Value,"Coastal or marine areas that have been modified by durable and persistent human construction (e.g., artificial reef, pier, seawall, marina, residence, or drilling platform).",,1.1.2,None,AI03,https://w3id.org/CMECS/CMECS_00000235,CMECS_00000235,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Dredged,CMECS Modifier Value,"Landscape that is mechanically altered by the removal of sediments or other materials (e.g., shell) in order to deepen or widen channels (e.g., for navigation or alteration to hydrology).",,1.1.2,None,AI04,https://w3id.org/CMECS/CMECS_00000258,CMECS_00000258,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Exotic,CMECS Modifier Value,Areas affected by human-mediated introduction of exotic species.,,1.1.2,None,AI05,https://w3id.org/CMECS/CMECS_00000329,CMECS_00000329,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Filled Deposition Site,CMECS Modifier Value,Areas where materials (such as sand or shell) have been placed on (or in) an area of coast or a water body.,,1.1.2,None,AI06,https://w3id.org/CMECS/CMECS_00000340,CMECS_00000340,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Impounded/Diverted,CMECS Modifier Value,"Areas where artificial construction impedes, redirects, or retains hydrological flow by building or placing barriers (e.g., dams, levees, dikes, berms, seawalls, or piers); these structures are designed to either retain water or to prevent inundation.",,1.1.2,None,AI07,https://w3id.org/CMECS/CMECS_00001483,CMECS_00001483,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Restored,CMECS Modifier Value,Areas where restoration activities have been conducted; may include planted areas.,,1.1.2,None,AI08,https://w3id.org/CMECS/CMECS_00000671,CMECS_00000671,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Scarred,CMECS Modifier Value,"Areas of scarring by natural or anthropogenic activities other than trawling or harvesting. Examples include ice scouring, vessel grounding, prop scarring, or other industrial activities.",,1.1.2,None,AI09,https://w3id.org/CMECS/CMECS_00000712,CMECS_00000712,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Trawled/Harvested,CMECS Modifier Value,Areas affected by past or present trawling or shellfish harvesting.,,1.1.2,None,AI10,https://w3id.org/CMECS/CMECS_00001600,CMECS_00001600,Original Unit,,,
Modifiers,Anthropogenic Modifiers,Anthropogenic Impact,Constructed,CMECS Modifier Value,Artificially built-up material that is either natural or man-made.,,1.1.2,None,AI11,https://w3id.org/CMECS/CMECS_00001701,CMECS_00001701,Original Unit,Addition,,
Modifiers,Biogeographic Modifiers,,,CMECS Modifier Type,,,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000103,CMECS_00000103,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,,CMECS Modifier,The Primary Water Source Modifier refers to the provenance of water flowing through or into a location. This can range from freshwater inputs (from watersheds and sloughs) to seawater exchanges through tidal passes.,,1.1.2,None,PWS,https://w3id.org/CMECS/CMECS_00000659,CMECS_00000659,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,Estuary,CMECS Modifier Value,Plume flow that is from the estuary.,,1.1.2,None,PWS01,https://w3id.org/CMECS/CMECS_00000325,CMECS_00000325,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,Local Estuary Exchange,CMECS Modifier Value,Tidal exchange that is primarily estuarine water.,,1.1.2,None,PWS02,https://w3id.org/CMECS/CMECS_00000475,CMECS_00000475,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,Local Ocean Exchange,CMECS Modifier Value,Tidal exchange that is primarily marine water at the marine end member interface.,,1.1.2,None,PWS03,https://w3id.org/CMECS/CMECS_00000476,CMECS_00000476,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,Marine,CMECS Modifier Value,Unidirectional flow that is primarily marine water.,,1.1.2,None,PWS04,https://w3id.org/CMECS/CMECS_00000490,CMECS_00000490,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,River,CMECS Modifier Value,Tidal exchange or plume flow that is primarily river water.,,1.1.2,None,PWS05,https://w3id.org/CMECS/CMECS_00000681,CMECS_00000681,Original Unit,,,
Modifiers,Biogeographic Modifiers,Primary Water Source,Watershed,CMECS Modifier Value,Flowing freshwater from the upstream watershed.,,1.1.2,None,PWS06,https://w3id.org/CMECS/CMECS_00000898,CMECS_00000898,Original Unit,,,
Modifiers,Biological Modifiers,,,CMECS Modifier Type,,,1.1.2,None,None,https://w3id.org/CMECS/CMECS_00000105,CMECS_00000105,Original Unit,,,
Modifiers,Biological Modifiers,Associated Taxa (Descriptive: Taxa Name),,CMECS Modifier,"The Associated Taxa Modifier is used in the Biotic Component to denote the presence of biota that are not a classification unit in CMECS; e.g., portunid crabs, groupers, gadids, barracuda, herring, all nekton, and other rapidly moving fauna. Further discussions on the use of Associated Taxa (as well as examples) are given under Co-occurring Elements, Section 10.6.2.",,1.1.2,None,AT,https://w3id.org/CMECS/CMECS_00000044,CMECS_00000044,Original Unit,Attribute Change (Implementation Guidance),"Further discussions on the use of Associated Taxa (as well as examples) are given under Co-occurring Elements, Section 10.6.2",
