Component,Origin,Class,Subclass,Group,Subgroup,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Substrate Component,,,,,,CMECS Component: Substrate ,"Substrate is defined in the Coastal and Marine Ecological Classification Standard (CMECS) as the non-living materials that form an aquatic bottom or seafloor, or that provide a surface (e.g., floating objects, buoys) for growth of attached biota. Substrate may be composed of any substance, natural or man-made. Describing the composition of the substrate is a fundamental part of any ecological classification scheme. Substrate provides context and setting for many aquatic processes, and it provides living space for benthic and attached biota.
The Substrate Component (Section 7, p. 98, FGDC-STD-018-2012) is a characterization of the composition and particle size of the surface layers of the substrate; this component is designed to be compatible with a range of sampling tools. The Substrate Component provides guidance to characterize the layers of substrate that support the majority of multicellular life (the upper layer of hard substrate, or (typically) the upper 15 centimeters of soft substrate) in a way that is consistent with a variety of past practices. The Substrate Component and the Biotic Component (Section 8, p. 119, FGDC-STD-018-2012) describe the non-living (Substrate) and living (Biotic) aspects of a plan-view perspective of the seafloor at comparable scales. 
Substrate Component observational unit scales range from sediment corers or grabs, to sediment profile or plan-view photographs of the seafloor, to defined quadrats or transects, to video clips, to high-resolution acoustic images. At larger scales, the structure, shape, and surface pattern of the substrate are described by the Geoform Component (Section 6, p. 60, FGDC-STD-018-2012).","FGDC (Federal Geographic Data Committee), Marine and Coastal Spatial Data Subcommittee. 2012. FGDC-STD-018-2012. “Coastal and Marine Ecological Classification Standard.” Reston, VA. Federal Geographic Data Committee.",1.1.2,S,None,https://w3id.org/CMECS/CMECS_00000803,CMECS_00000803,Original Unit,Editorial Change (defintion re-worded),"For All Substrate Component Units:
CMECS does not prescribe metrics or methodologies for substrate analysis or interpretation at this time. Classifications throughout the Substrate Component may be based on visual percent cover for plan-view images or metrics such as percent weight, or percent composition for other approaches (e.g., retrieved samples).|CMECS components are intended to be scale-independent and method-independent; the reported scale of substrate “patchiness” is determined by the scale of observation, and so is somewhat method-dependent. To assist with comparability, practitioners should always report sampling gear, methods, units, scale of observation, and scale of reporting in project metadata. Data users should be aware of the methods that were used to collect and report data, and should make note of any data limitations that may exist.|Modifier terms (Section 7.6 and Section 10, FGDC-STD-018-2012) can be applied as needed to further describe substrate characteristics. Recommended modifiers for substrate units include:
Anthropogenic Impact, aRPD and RPD Depth, Benthic Depth Zones, Co-occurring Elements, Coral Reef Zone, Energy Intensity, Induration, Percent Cover (Fine), Mineral Precipitate, Percent Cover (Coarse), Seafloor Rugosity, Small-Scale Slope, Substrate Descriptor, Substrate Layering, Surface Pattern, Temporal Persistence.|The Co-occurring Elements Modifier (see Section 10.6.2, p. 213, FGDC-STD-018-2012) may be used to describe mixes of origins as well as the presence of secondary substrate units within the observational unit (i.e., image frame, sampling grid cell, etc.).",
Substrate Component,Geologic Substrate,,,,,CMECS Substrate Component: Origin,"Benthic substrates where sufficient evidence shows that Geologic Substrate exceeds (is dominant over) both Biogenic and Anthropogenic Substrates, considered separately. Geologic Substrates are composed of consolidated igneous, metamorphic, or sedimentary rock or finer, unconsolidated particles and are classified according to particle size and mixes of particle sizes. When Geologic Substrate is present, but does not constitute the dominant substrate origin, it may be included as a Co-occurring Element.",,1.1.2,S,1,https://w3id.org/CMECS/CMECS_00000389,CMECS_00000389,Original Unit,Editorial Change (defintion re-worded),"Substrate Origin describes the genesis of the substrate, not the process by which it is emplaced. If the Substrate Origin cannot be definitively determined, the analyst may opt to use “Indeterminate” in place of Origin type and use the Geologic Origin units for further classification.",
Substrate Component,Geologic Substrate,Consolidated Mineral Substrate,,,,CMECS Substrate Component: Class,"Igneous, metamorphic, or sedimentary rock with particle sizes greater than or equal to 4.0 meters (4,096 millimeters) in any dimension that cover 50% or greater of the Geologic Substrate surface.",,1.1.2,S,1.1,https://w3id.org/CMECS/CMECS_00000684,CMECS_00000684,Original Unit,Name Change,"Depending on the sampling method used and scale of the observational unit, classifying larger features may require extrapolating information from surrounding observations or additional studies. The Geoform Component may also be used to extend the substrate classification for such features (p. 227, FGDC-STD-018-2012). |See Also: Implementation Guidance for All Substrate Component Units",
Substrate Component,Geologic Substrate,Consolidated Mineral Substrate,Bedrock,,,CMECS Substrate Component: Subclass,Substrate with mostly continuous formations of bedrock that cover 50% or more of the Geologic Substrate surface.,,1.1.2,S,1.1.1,https://w3id.org/CMECS/CMECS_00000094,CMECS_00000094,Original Unit,,"Depending on the sampling method used and scale of the observational unit, classifying larger features may require extrapolating information from surrounding observations or additional studies. The Geoform Component may also be used to extend the substrate classification for such features (p. 227, FGDC-STD-018-2012). |See Also: Implementation Guidance for All Substrate Component Units",
Substrate Component,Geologic Substrate,Consolidated Mineral Substrate,Megaclast,,,CMECS Substrate Component: Subclass,"Substrate where individual rocks with particle sizes greater than or equal to 4.0 meters (4,096 millimeters) in any dimension cover 50% or more of the Geologic Substrate surface.",,1.1.2,S,1.1.2,https://w3id.org/CMECS/CMECS_00000528,CMECS_00000528,Original Unit,,"Depending on the sampling method used and scale of the observational unit, classifying larger features may require extrapolating information from surrounding observations or additional studies. The Geoform Component may also be used to extend the substrate classification for such features (p. 227, FGDC-STD-018-2012). |See Also: Implementation Guidance for All Substrate Component Units",
Substrate Component,Geologic Substrate,Consolidated Mineral Substrate,Tar,,,CMECS Substrate Component: Subclass,"Substrate dominated by tar, asphalt, or other hydrocarbon material that has extruded onto the seafloor.  This material has cooled from a semi-liquid state and now forms a potential attachment surface for biota.  This substrate is usually associated with seeps, tar mounds, or tar lilly geoforms.",,1.1.2,S,1.1.3,https://w3id.org/CMECS/CMECS_00001666,CMECS_00001666,Original Unit,Addition,"Depending on the sampling method used and scale of the observational unit, classifying larger features may require extrapolating information from surrounding observations or additional studies. The Geoform Component may also be used to extend the substrate classification for such features (p. 227, FGDC-STD-018-2012). |See Also: Implementation Guidance for All Substrate Component Units",
Substrate Component,Geologic Substrate,Coarse Unconsolidated Mineral Substrate,,,,CMECS Substrate Component: Class,"Geologic Unconsolidated Mineral Substrates with less than 50% cover of Consolidated Mineral Substrate where the Unconsolidated Mineral Substrate surface is greater than or equal to than 5% Gravel (particles 2 millimeters to < 4,096 millimeters in diameter).","Folk, R.L., 1954. “The Distinction between Grain Size and Mineral Composition in Sedimentary-Rock Nomenclature.” The Journal of Geology 62: 344-359.",1.1.2,S,1.3,https://w3id.org/CMECS/CMECS_00000167,CMECS_00000167,Derived Unit,Change in level up (Subclass to Class)|Editorial Change (defintion re-worded)|Attribute Change (Unit Type change)|Attribute Change (revised unit code)|Name change,"When classifying mixes of two different Gravel Subgroup particle sizes, use combinations of the Subgroup unit names with the overall dominant size first. Examples: Boulder-Cobble, Cobble-Boulder, Cobble-Granule, Pebble-Granule, Granule-Boulder.|Due to the importance of different particle sizes of Gravel as habitat for many organisms, Gravel subgroup particle sizes (Boulder, Cobble, Pebble, Granule) must be identified whenever particle sizes are known or can be estimated within any mix and at any level of classification. Examples: Gravel Mixes -> Pebble Mixes, Muddy Sandy Gravel -> Muddy Sandy Cobble, Gravelly Sand -> Bouldery Sand|When classifying Mixes, or when there is a need to identify specific particle sizes beyond the Subgroup definitions, the Subgroup terms for the Gravel Group (Boulder, Cobble, Pebble, Granule), Sand Group (Very Coarse Sand, Coarse Sand, Medium Sand, Fine, Sand, Very Fine Sand), and Mud Group (Silt, Silt-Clay, Clay) may optionally be substituted for the Group term. Examples: Muddy Sandy Gravel -> Silty Sandy Gravel, Slightly Gravelly Sandy Mud -> Slightly Gravelly Sandy Clay, Gravelly Muddy Sand -> Gravelly Muddy Coarse Sand, Slightly Gravelly Sand -> Slightly Gravelly Medium Sand.","Getting Started: If Gravel particles make up > 80% of the substrate, continue classifying using the Gravel Substrate subclass units.|If Gravel particles make up greater than or equal to 5% but < 80%, continue classifying using the Mixed Gravel subclass units.|If Gravel particles make up 0.01% to < 5% continue classifying using the Trace Gravel subclass within the Fine Unconsolidated Mineral Substrate class.|The CMECS Coarse, Mixed, and Fine Unconsolidated Mineral Substrate Classes and subordinate units use Folk (1954) terminology to describe particle sizes of loose mineral substrates as shown in the ternary diagram in Figure 7.2 . Units with bracketed letters, e.g., [G], [(g)sM], correspond to the labeled polygons in Figure 7.2, using conventions from Folk (1954)."
Substrate Component,Geologic Substrate,Coarse Unconsolidated Mineral Substrate,Gravel Substrate,,,CMECS Substrate Component: Substrate Subclass,"Geologic Unconsolidated Mineral Substrate surface is greater than or equal to 80% Gravel, with a Gravel size of 2 millimeters to < 4,096 millimeters.",,1.1.2,S,1.3.1,https://w3id.org/CMECS/CMECS_00000393,CMECS_00000393,Derived Unit,Name Change|Change in level up|Editorial Change (defintion re-worded)|Attribute Change (Unit Type),"When classifying mixes of two different Gravel Subgroup particle sizes, use combinations of the Subgroup unit names with the overall dominant size first. Examples: Boulder-Cobble, Cobble-Boulder, Cobble-Granule, Pebble-Granule, Granule-Boulder.|Due to the importance of different particle sizes of Gravel as habitat for many organisms, Gravel subgroup particle sizes (Boulder, Cobble, Pebble, Granule) must be identified whenever particle sizes are known or can be estimated within any mix and at any level of classification. Examples: Gravel Mixes -> Pebble Mixes, Muddy Sandy Gravel -> Muddy Sandy Cobble, Gravelly Sand -> Bouldery Sand|When classifying Mixes, or when there is a need to identify specific particle sizes beyond the Subgroup definitions, the Subgroup terms for the Gravel Group (Boulder, Cobble, Pebble, Granule), Sand Group (Very Coarse Sand, Coarse Sand, Medium Sand, Fine, Sand, Very Fine Sand), and Mud Group (Silt, Silt-Clay, Clay) may optionally be substituted for the Group term. Examples: Muddy Sandy Gravel -> Silty Sandy Gravel, Slightly Gravelly Sandy Mud -> Slightly Gravelly Sandy Clay, Gravelly Muddy Sand -> Gravelly Muddy Coarse Sand, Slightly Gravelly Sand -> Slightly Gravelly Medium Sand.","The CMECS Coarse, Mixed, and Fine Unconsolidated Mineral Substrate Classes and subordinate units use Folk (1954) terminology to describe particle sizes of loose mineral substrates as shown in the ternary diagram in Figure 7.2 . Units with bracketed letters, e.g., [G], [(g)sM], correspond to the labeled polygons in Figure 7.2, using conventions from Folk (1954)."
Substrate Component,Geologic Substrate,Coarse Unconsolidated Mineral Substrate,Gravel Substrate,Very Coarse Gravel,,CMECS Substrate Component: Substrate Group,"Geologic Unconsolidated Mineral Substrate surface is greater than or equal to 80% Gravel (particles 64 millimeters to < 4,096 millimeters diameter).",,1.1.2,S,1.3.1.1,https://w3id.org/CMECS/CMECS_00001673,CMECS_00001673,Original Unit,Addition,"When classifying mixes of two different Gravel Subgroup particle sizes, use combinations of the Subgroup unit names with the overall dominant size first. Examples: Boulder-Cobble, Cobble-Boulder, Cobble-Granule, Pebble-Granule, Granule-Boulder.|Due to the importance of different particle sizes of Gravel as habitat for many organisms, Gravel subgroup particle sizes (Boulder, Cobble, Pebble, Granule) must be identified whenever particle sizes are known or can be estimated within any mix and at any level of classification. Examples: Gravel Mixes -> Pebble Mixes, Muddy Sandy Gravel -> Muddy Sandy Cobble, Gravelly Sand -> Bouldery Sand|When classifying Mixes, or when there is a need to identify specific particle sizes beyond the Subgroup definitions, the Subgroup terms for the Gravel Group (Boulder, Cobble, Pebble, Granule), Sand Group (Very Coarse Sand, Coarse Sand, Medium Sand, Fine, Sand, Very Fine Sand), and Mud Group (Silt, Silt-Clay, Clay) may optionally be substituted for the Group term. Examples: Muddy Sandy Gravel -> Silty Sandy Gravel, Slightly Gravelly Sandy Mud -> Slightly Gravelly Sandy Clay, Gravelly Muddy Sand -> Gravelly Muddy Coarse Sand, Slightly Gravelly Sand -> Slightly Gravelly Medium Sand.","The CMECS Coarse, Mixed, and Fine Unconsolidated Mineral Substrate Classes and subordinate units use Folk (1954) terminology to describe particle sizes of loose mineral substrates as shown in the ternary diagram in Figure 7.2 . Units with bracketed letters, e.g., [G], [(g)sM], correspond to the labeled polygons in Figure 7.2, using conventions from Folk (1954)."
Substrate Component,Geologic Substrate,Coarse Unconsolidated Mineral Substrate,Gravel Substrate,Very Coarse Gravel,Boulder,CMECS Substrate Component: Substrate Subgroup,"Geologic Unconsolidated Mineral Substrate surface is greater than or equal to 80% Gravel, with a Gravel size of 256 millimeters to < 4,096 millimeters.",,1.1.2,S,1.3.1.1.1,https://w3id.org/CMECS/CMECS_00000109,CMECS_00000109,Original Unit,Attribute Change (revised unit code)|Editorial Change (defintion re-worded),"When classifying mixes of two different Gravel Subgroup particle sizes, use combinations of the Subgroup unit names with the overall dominant size first. Examples: Boulder-Cobble, Cobble-Boulder, Cobble-Granule, Pebble-Granule, Granule-Boulder.|Due to the importance of different particle sizes of Gravel as habitat for many organisms, Gravel subgroup particle sizes (Boulder, Cobble, Pebble, Granule) must be identified whenever particle sizes are known or can be estimated within any mix and at any level of classification. Examples: Gravel Mixes -> Pebble Mixes, Muddy Sandy Gravel -> Muddy Sandy Cobble, Gravelly Sand -> Bouldery Sand|When classifying Mixes, or when there is a need to identify specific particle sizes beyond the Subgroup definitions, the Subgroup terms for the Gravel Group (Boulder, Cobble, Pebble, Granule), Sand Group (Very Coarse Sand, Coarse Sand, Medium Sand, Fine, Sand, Very Fine Sand), and Mud Group (Silt, Silt-Clay, Clay) may optionally be substituted for the Group term. Examples: Muddy Sandy Gravel -> Silty Sandy Gravel, Slightly Gravelly Sandy Mud -> Slightly Gravelly Sandy Clay, Gravelly Muddy Sand -> Gravelly Muddy Coarse Sand, Slightly Gravelly Sand -> Slightly Gravelly Medium Sand.","The CMECS Coarse, Mixed, and Fine Unconsolidated Mineral Substrate Classes and subordinate units use Folk (1954) terminology to describe particle sizes of loose mineral substrates as shown in the ternary diagram in Figure 7.2 . Units with bracketed letters, e.g., [G], [(g)sM], correspond to the labeled polygons in Figure 7.2, using conventions from Folk (1954)."
